Data Set 1:Time(s),Data Set 1:pH
0,4.109277725
0.5,4.102059364
1,4.102059364
1.5,4.101257801
2,4.102059364
2.5,4.102059364
3,4.080405235
3.5,4.09243536
4,4.090029716
4.5,4.090029716
5,4.141358376
5.5,4.187874794
6,4.153388023
6.5,4.162210464
7,4.157398224
7.5,4.164616585
8,4.156596184
8.5,4.162210464
9,4.382763863
9.5,4.555997849
10,4.679507256
10.5,4.753292561
11,4.781362534
11.5,4.859158039
12,4.876802444
12.5,4.898456573
13,4.920912743
13.5,4.952993393
14,4.957805634
14.5,4.949785233
15,4.961815357
15.5,4.968231201
16,4.966627598
16.5,4.975449562
17,4.987479687
17.5,4.999509811
18,5.021164417
18.5,5.040412426
19,5.04843235
19.5,5.067680836
20,5.0765028
20.5,5.07489872
21,5.080513
21.5,5.081315041
22,5.0765028
22.5,5.0765028
23,5.072493076
23.5,5.065274715
24,5.064472675
24.5,5.063670635
25,5.061264992
25.5,5.040412426
26,4.993093967
26.5,4.919308662
27,4.974647522
27.5,4.986677647
28,4.997905731
28.5,5.014748096
29,5.014748096
29.5,5.022768021
30,4.990687847
30.5,4.912892818
31,4.899258614
31.5,4.892040253
32,4.880812168
32.5,4.875198364
33,4.867177963
33.5,4.861564159
34,4.855949879
34.5,4.849534035
35,4.846325874
35.5,4.845523834
36,4.843117714
36.5,4.842315674
37,4.839107513
37.5,4.836701393
38,4.83589983
38.5,4.83349371
39,4.83349371
39.5,4.831087589
40,4.830285549
40.5,4.828681469
41,4.827879429
41.5,4.83349371
42,4.818255424
42.5,4.819859505
43,4.824671268
43.5,4.895248413
44,5.029986382
44.5,5.04923439
45,5.05003643
45.5,5.05003643
46,5.058858871
46.5,5.060462952
47,5.068482876
47.5,5.066878796
48,5.070086956
48.5,5.068482876
49,5.069284916
49.5,5.066878796
50,5.065274715
50.5,5.064472675
51,5.062067032
51.5,5.061264992
52,5.060462952
52.5,5.060462952
53,5.056452751
53.5,5.046026707
54,5.047630787
54.5,5.045224667
55,5.045224667
55.5,5.042818546
56,5.043620586
56.5,5.043620586
57,5.041214466
57.5,5.040412426
58,5.038006306
58.5,5.034798622
59,5.031590462
59.5,5.031590462
60,5.030788422
60.5,5.011539936
61,5.021164417
61.5,5.022768021
62,5.022768021
62.5,5.021164417
63,5.020362377
63.5,5.017956257
64,5.012341976
64.5,5.013144016
65,5.012341976
65.5,5.009134293
66,5.009936333
66.5,5.006728172
67,5.005926132
67.5,5.005926132
68,5.003520012
68.5,5.002717972
69,5.001113892
69.5,5.002717972
70,4.999509811
70.5,5.001915932
71,4.996301651
71.5,4.997905731
72,4.999509811
72.5,5.000311852
73,5.003520012
73.5,4.965825558
74,4.961013317
74.5,4.981865883
75,4.973845482
75.5,4.993895531
76,4.977053642
76.5,4.977053642
77,4.976251602
77.5,4.975449562
78,4.977053642
78.5,4.973845482
79,4.977053642
79.5,4.973043442
80,4.973845482
80.5,4.973043442
81,4.973043442
81.5,4.974647522
82,4.973845482
82.5,4.973043442
83,4.970637321
83.5,4.968231201
84,4.970637321
84.5,4.969835281
85,4.969033241
85.5,4.965825558
86,4.967429161
86.5,4.965023518
87,4.964221478
87.5,4.964221478
88,4.960211277
88.5,4.959409237
89,4.955399513
89.5,4.957003593
90,4.956201553
90.5,4.952993393
91,4.947379112
91.5,4.947379112
92,4.940161228
92.5,4.945775032
93,4.939359188
93.5,4.940962791
94,4.937755108
94.5,4.933744907
95,4.932141304
95.5,4.931339264
96,4.929735184
96.5,4.929735184
97,4.930537224
97.5,4.926527023
98,4.926527023
98.5,4.920110703
99,4.920912743
99.5,4.917704582
100,4.872792244
100.5,4.906476974
101,4.932141304
101.5,4.858355999
102,4.782165051
102.5,4.724420071
103,4.678705692
103.5,4.645020962
104,4.617753029
104.5,4.597702503
105,4.574444294
105.5,4.559206009
106,4.543967724
106.5,4.533541679
107,4.520709038
107.5,4.51188755
108,4.4798069
108.5,4.466974735
109,4.471786499
109.5,4.471786499
110,4.474994659
110.5,4.471786499
111,4.470182896
111.5,4.474192619
112,4.45334053
112.5,4.470182896
113,4.45253849
113.5,4.442112446
114,4.434092522
114.5,4.426072121
115,4.42446804
115.5,4.410834312
116,4.405220032
116.5,4.402813911
117,4.402813911
117.5,4.402813911
118,4.402813911
118.5,4.402011871
119,4.400407791
119.5,4.399605751
120,4.397199631
120.5,4.39399147
121,4.39399147
121.5,4.396397591
122,4.39479351
122.5,4.396397591
123,4.395595551
123.5,4.395595551
124,4.395595551
124.5,4.395595551
125,4.395595551
125.5,4.396397591
126,4.395595551
126.5,4.398001671
127,4.397199631
127.5,4.395595551
128,4.398803711
128.5,4.395595551
129,4.39479351
129.5,4.396397591
130,4.39479351
130.5,4.396397591
131,4.39318943
131.5,4.392387867
132,4.390783787
132.5,4.39158535
133,4.388377666
133.5,4.389179707
134,4.390783787
134.5,4.387575626
135,4.387575626
135.5,4.390783787
136,4.371535301
136.5,4.359505177
137,2.796386242
137.5,2.525306225
138,2.478789806
138.5,2.454729557
139,2.443500519
139.5,2.439491749
140,2.432272911
140.5,2.427461147
141,2.426659107
141.5,2.42425251
142,2.42184639
142.5,2.42184639
143,2.422648907
143.5,2.413826942
144,2.417837143
144.5,2.417837143
145,2.415430546
145.5,2.415430546
146,2.420243263
146.5,2.417837143
147,2.410618305
147.5,2.412222862
148,2.411421299
148.5,2.411421299
149,2.412222862
149.5,2.411421299
150,2.410618305
150.5,2.400994778
151,2.408212662
151.5,2.409014225
152,2.405806541
152.5,2.407411098
153,2.412222862
153.5,2.412222862
154,2.406608105
154.5,2.405004978
155,2.404202461
155.5,2.407411098
156,2.42585659
156.5,2.417034626
157,2.404202461
157.5,2.406608105
158,2.408212662
158.5,2.406608105
159,2.404202461
159.5,2.406608105
160,2.407411098
160.5,2.404202461
161,2.401796341
161.5,2.401796341
162,2.399390697
162.5,2.403400898
163,2.401796341
163.5,2.402597904
164,2.405806541
164.5,2.396984577
165,2.396984577
165.5,2.398589134
166,2.398589134
166.5,2.399390697
167,2.395380497
167.5,2.400994778
168,2.401796341
168.5,2.401796341
169,2.401796341
169.5,2.402597904
170,2.403400898
170.5,2.400192261
171,2.401796341
171.5,2.402597904
172,2.402597904
172.5,2.399390697
173,2.401796341
173.5,2.402597904
174,2.400994778
174.5,2.39778614
175,2.404202461
175.5,2.400192261
176,2.387360096
176.5,2.425055027
177,2.404202461
177.5,2.414628506
178,2.406608105
178.5,2.409816742